75,Intensywna Terapia Dzieci i Noworodków,Dy¿. Lek. - Odc. Noworodków,350,37-04-350
76,Dializy Dzieci,Dy¿. Piel.,352,37-04-352
77,Dzia³ Techniczny,Warsztat-Ped,353,37-04-353
78,Chirurgia Wad Rozwojowych Dzieci i Traumatologii,Sekretariat,354,37-04-354
79,Chirurgia Wad Rozwojowych Dzieci i Traumatologii,Dy¿. Nocna Lek.,356,37-04-356
80,Sekcja ¯ywienia,Kuchnia Mleczna,360,37-04-360
81,Sekcja Utrzymania Czystoœci,Inspektor,365,37-04-365
82,Chirurgia Wad Rozwojowych Dzieci i Traumatologii,Dy¿.Lek,368,37-04-368
83,Urologia,Oddzia³owa,377,37-04-377
84,Poradnia doros³ych,Gab. Leczenia Bólu,378,37-04-378
85,Chirurgia Wad Rozwojowych Dzieci i Traumatologii,Sekretariat,380,37-04-380
86,Patologia Noworodka,Oddzia³owa,386,37-04-386
87,Sekcja ¯ywienia,Biuro Kuchni Mlecznej,392,37-04-392
88,Izba Przyjêæ Dzieci,Koordynator IPDz,394,37-04-394
89,Dzia³ Techniczny,Warsztat Instalacyjno-Œlusarski,397,37-04-397
90,Urologia,Sekretariat,403,37-04-403
91,Urologia,Dy¿. Piel.,405,37-04-405
92,Nefrologia,Oddzia³owa,406,37-04-406
93,Chirurgia Klatki Piersiowej,Oddzia³owa,414,37-04-414
94,Nefrologia,Sekretariat,415,37-04-415
95,Chorób Wew i Diabetolgii,Sekretariat,415,37-04-415
96,Chirurgia Klatki Piersiowej,Sekretariat,416,37-04-416
97,Zak³ad Patomorfologii,Prac. Immunohistochemii i Prac. Badañ Molekularnych,418,37-04-418
98,G³ówna Izba Przyjeæ,Gab.Badañ nr 36,419,37-04-419
99,Nefrologia,Dy¿.Piel,421,37-04-421
100,Chirurgia Klatki Piersiowej,Dy¿.Lek,423,37-04-423
101,Chorób Wew i Diabetolgii,Oddzia³owa,424,37-04-424
102,Chorób Wew i Diabetolgii,Dy¿.Lek,425,37-04-425
103,Chorób Wew i Diabetolgii,Pok. Doc. ¯ywiec,426,37-04-426
104,Chorób Wew i Diabetolgii,Dyz.Piel,427,37-04-427
105,Chorób Wew i Diabetolgii,Dy¿.Lek,438,37-04-438
106,Nefrologia,Dy¿.Dializ,439,37-04-439
107,Urologia,Dy¿.Lek,440,37-04-440
108,Nefrologia,Dy¿.Lek,441,37-04-441
109,Chirurgia Klatki Piersiowej,Pokój p.Profesora Bud.4,442,37-04-442
110,Chirurgia Klatki Piersiowej,Dy¿.Lek,444,37-04-444
111,G³ówna Izba Przyjêæ,Gab.Badañ nr 1.34,445,37-04-445
112,G³ówna Izba Przyjêæ,Pracownia EKG,446,37-04-446
113,Aparatura Medyczna,Technicy,449,37-04-449
114,G³ówna Izba Przyjêæ Doros³ych,Gab.Przyg.Pac,450,37-04-450
115,Dzia³ techniczny,Stolarnia,451,37-04-451
116,Dzia³ techniczny,Kot³ownia,455,37-04-455
117,Hematologia i Onkologia Dzieci,Stat. Med. Z.Z.S Przew. PKZP,456,37-04-456
118,Radiologia,Rejestracja MR,460,37-04-460
119,Chorób Wew I Diabetolgii,Kierownik,465,37-04-465
120,Patologia Noworodka,Sekretariat - FAX,466,37-04-466
121,Chirurgia Klatki Piersiowej,Gab.Zab,469,37-04-469
122,Sekcja ¯ywienia,Dyst.Posi³.Bud.4,470,37-04-470
123,Chirurgia Klatki Piersiowej,Dy¿.Lek,471,37-04-471
124,Sekcja ¯ywienia,Kierownik,472,37-04-472
125,Sekcja ¯ywienia,Dyst.Posi³.Bud.1 IIp,473,37-04-473
126,Sekcja ¯ywienia,Dyst.Posi³.Bud.5,474,37-04-474
127,Chirurgia Klatki Piersiowej,Sekretariat,475,37-04-475
128,Sekcja ds.Epidemiologii i Higieny Szpitalnej,Epidemiologia,477,37-04-477
129,Nefrologia,Ordynator,480,37-04-480
130,Radiologia,Pracownia TK,481,37-04-481
131,Dzia³ Techniczny,Referent,487,37-04-487
132,Chorób Wew i Diabetolgii,Sekretariat - Katedry,488,37-04-488
133,Neurologia,Oddzia³owa,498,37-04-498
134,Dzia³ Spraw Pracowniczych i Socjalnych,Kadry,501,37-04-501
135,Dyrekcja,,505,37-04-505
136,Radiologia,Kierownik,506,37-04-506
137,Dzia³ Spraw Pracowniczych i Socjalnych,Kierownik,509,37-04-509
138,Dzia³ Spraw Pracowniczych i Socjalnych,Kadry,510,37-04-510
139,Dyrekcja,Kancelaria,511,37-04-511
140,Dzia³ Techniczny,Kier.DT,512,37-04-512
141,G³ówna Izba Przyjêæ,Lekarz IP,515,37-04-515
142,Administracja,Kierownik,518,37-04-518
143,Apteka Szpitalna,,521,37-04-521
144,Zak³ad Patomorfologii,Prosektorium,523,37-04-523
145,Dzia³ Organizacyjno Prawny,Org.Prawny,526,37-04-526
146,Chirurgia Klatki Piersiowej,Dy¿.Piel,527,37-04-527
147,Dzia³ Organizacyjno Prawny,Kierownik,528,37-04-528
148,Radiologia,Rejestracja,535,37-04-535
149,Chirurgia Klatki Piersiowej,Dy¿.Lek,537,37-04-537
150,Zak³ad Patomorfologii,Sekretariat - FAX,540,37-04-540
151,Zak³ad Patomorfologii,Sekretariat Katedry,546,37-04-546
152,Zak³ad Patomorfologii,Prac. Oligobiopsji i Badañ Histochemicznych,548,37-04-548
153,Zak³ad Patomorfologii,Prac. Histopatologiczna,544,37-04-544
154,Poradnia Neurologiczna Doros³ych,Rejestracja,551,37-04-551
155,Poradnia Doros³ych,Gab. Chirurgii Klatki Piersiowej i Ogólnej,553,37-04-553
156,Apteka Szpitalna,,555,37-04-555
157,Dzia³ Techniczny,Rozdzielnia g³ówna,560,37-04-560
158,Poradnia Doros³ych,Gab. Urologia,561,37-04-561
159,Dzia³ Organizacyjno Prawny,Prawnicy,564,37-04-564
160,Apteka szpitalna,Kierownik,567,37-04-567
161,Administracja,Portiernia G³ówna,580,37-04-580
162,Neurologia,Psycholog,581,37-04-581
163,Neurologia,Sekretariat,584,37-04-584
164,Neurologia,Dy¿.Piel.,585,37-04-585
165,Neurologia,Dy¿. Lek.,587,37-04-587
166,Dzia³ Techniczny,Elekrtycy,588,37-04-588
167,Neurologia,Pracownia EEG,589,37-04-589
168,Neurologia,Pracowania EMG,591,37-04-591
169,Neurologia,Rehabilitacja,592,37-04-592
170,Katedra Anestezjologii,Sekretariat,593,37-04-593
171,Neurologia,Dy¿. Lek.,596,37-04-596
172,Sekcja utrzymania czystoœci,Kierownik,599,37-04-599
173,Urologia,Kierownik,666,37-04-666
174,Dyrekcja,Naczelna Pielêgniarka,314,37-04-314
175,Chirurgia Klatki Piersiowej,Pokój Piel.,422,37-04-422
176,Chirurgia Klatki Piersiowej,Sala Endoskopowa,420,37-04-420
177,Chirurgia Klatki Piersiowej,Punkt Przyjêæ,443,37-04-443
178,Blok Operacyjny,Sala Oper. I,573,37-04-573
179,Blok Operacyjny,Sala Oper. II,572,37-04-572
180,Blok Operacyjny,Sala Oper. III,571,37-04-571
181,Blok Operacyjny,Sala Oper. IV,570,37-04-570
182,Blok Operacyjny,Konsola i Pok. Lek.,575,37-04-575
183,Blok Operacyjny,Pokój Piel.S.Oper.,576,37-04-576
184,Blok Operacyjny,Sterylizacja,578,37-04-578
185,Anestezja-Znieczulenia,Oddz.Instr.,436,37-04-436
186,Anestezja-Znieczulenia,Istrument.,413,37-04-413
187,Anestezja-Znieczulenia,Sekretariat,586,37-04-586
188,Anestezja-Znieczulenia,Dy¿.Anest.,432,37-04-432
189,Anestezja-Znieczulenia,Dy¿.Anest.Lek.,468,37-04-468
190,Anestezjologia i Intensywna Terapia,Sekretariat,238,37-04-238
191,Anestezjologia i Intensywna Terapia,Oddz.Piel.Anest,412,37-04-412
192,Poradnia Doros³ych,Gab.103 Chir.Klat.Pier.,559,37-04-559
193,Poradnia Doros³ych,Gab.105 Chir.Klat.Pier.,232,37-04-232
194,Poradnia Doros³ych,Rejestracja,430,37-04-430
195,Poradnia Doros³ych,Gab.110 Nefrologia,464,37-04-464
196,Poradnia Doros³ych,Gab.102 Urologia,351,37-04-351
197,Poradnia Doros³ych,Gab.111 Diabetologia,547,37-04-547
198,Poradnia Doros³ych,Gab.112 Diabetologia,549,37-04-549
199,Poradnia Doros³ych,Gab.113 Diabetologia,359,37-04-359
200,Poradnia Doros³ych,Gab.145 Pielêgniarek,545,37-04-545
201,Dzia³ BHP,BHP,433,37-04-433
202,Dzia³ Informatyki Szpitalnej,Informatycy,223,37-04-223
203,Poradnia Doros³ych,Rejestracja,561,37-04-561
204,Poradnia Doros³ych,Rejestracja,553,37-04-553
205,Poradnia Doros³ych,Gab.111 Chor.Metab.,547,37-04-547
206,Poradnia Doros³ych,Gab.111 Transplan.,547,37-04-547
207,Poradnia Reumatologiczna Dzieci,Rejestracja,334,37-04-334
208,Poradnia Hematologii i Onkologii Dzieci,Rejestracja,334,37-04-334
209,Poradnia Chirurgii Dzieci,Rejestracja,254,37-04-254
210,Poradnia Nefrologiczna Dzieci, Rejestracja,334,37-04-334
211,Poradnia Endokrynologiczna Dzieci, Rejestracja,334,37-04-334
212,Poradnia Alergo. Pulmo. i  Immuno. Dzieci,Rejestracja,363,37-04-363
213,Poradnia Endokrynologii Doros³ych,Rejestracja,430,37-04-430
214,Poradnia Zak³adowa Med. Pracy,Rejestracja,558,37-04-558
215,Poradnia Nefrologiczna Doros³ych,Rejestracja,430,37-04-430
216,Poradnia Neonatologiczna,Rejestracja,334,37-04-334
217,Poradnia Chorób Metabolicznych,Rejestracja,430,37-04-430
218,Wypo¿yczenie Badañ,Kierownik Por. Gen.,490,37-04-490
219,Punkt Pobrañ,,407,37-32-407
220,Laboratorium,,315,37-04-315
221,Bakteriologia,,483,37-04-483
222,Poradnia Alergo. Pulmo. i Immuno Dzieci - Kozio³ka,Gab. Przyjêæ,318,37-04-318
223,Oddzia³ Pulmonologiczny - Kozio³ka,Sekretariat,235,37-32-235
224,Oddzia³ Pulmonologiczny - Kozio³ka,Ordynator Kierownik,245,37-32-245
225,Oddzia³ Pulmonologiczny - Kozio³ka,Oddzia³owa,215,37-32-215
226,Pododdz. Reh. Pulmo. - Kozio³ka,Sekretariat,221,37-32-221
227,Poradnia Onkologiczna - Kozio³ka,Sekretariat,238,37-32-238
228,Pododdz. Reh. Pulmo. - Kozio³ka,Dy¿. Lek.,224,37-32-224
229,Laboratorium - Kozio³ka,,255,37-32-255
230,Izba Przyjêæ - Kozio³ka,Gab. Diagnostyczny,288,37-32-288
231,Apteka Szpitalna - Kozio³ka,Sekretariat,270,37-32-270
232,Diagnostyczna Por. Chor. P³uc - Kozio³ka,Sekretariat,263,37-32-263
233,Poradnia Domowego Leczenia - Kozio³ka,Sekretariat,238,37-32-238
234,Oddz. Dzienny Reh. Ogólnoustr. - Kozio³ka,Sekretariat,263,37-32-263
235,Pracownia Badañ Czynnoœciowych - Kozio³ka,Sekretariat,221,37-32-221
236,Pracownia USG - Kozio³ka,,237,37-32-237
237,Pracownia RTG - Kozio³ka,Sekretariat,223,37-32-223
238,Pracownia TK - Kozio³ka,,267,37-32-267
239,Pracownia Bronchoskopowa - Kozio³ka,Sekretariat,218,37-32-218
240,Pracownia Bakretiologii GruŸlicy,Sekretariat,252,37-32-252
241,Pododdz. Reh. Pulmo. - Kozio³ka,Dy¿. Piel.,225,37-32-225
